iter	Passed	Remaining
0	1	185
1	3	174
2	4	160
3	6	148
4	7	144
5	9	142
6	10	141
7	12	139
8	13	137
9	15	137
10	16	135
11	18	135
12	19	133
13	21	130
14	22	128
15	24	129
16	26	128
17	27	127
18	29	126
19	31	125
20	32	122
21	34	120
22	35	118
23	37	117
24	38	116
25	40	115
26	42	114
27	43	112
28	45	111
29	47	110
30	49	109
31	50	107
32	52	105
33	54	105
34	55	103
35	57	101
36	58	99
37	59	97
38	61	96
39	63	94
40	64	92
41	64	89
42	66	88
43	67	86
44	69	84
45	70	83
46	72	81
47	73	80
48	75	78
49	77	77
50	78	75
51	80	73
52	81	72
53	82	70
54	83	68
55	85	67
56	86	65
57	88	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	96	54
64	98	53
65	99	51
66	101	50
67	103	48
68	104	47
69	106	45
70	108	44
71	110	42
72	111	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	121	32
79	122	30
80	124	29
81	125	27
82	127	26
83	129	24
84	130	23
85	132	21
86	133	19
87	135	18
88	136	16
89	138	15
90	139	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	150	3
98	152	1
99	153	0
